CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOQVXHMOLTCDEFIAH00640463";1;1;2019;4;2;852;1;1
"TQRMNOQVYHMOLTCDEFIAH00640495";1;1;2019;4;2;852;1;1
"TQRMNOQWPHLMLNCDEFIAH00646668";1;1;2019;4;2;598;2;1
"TQRMNOQWRHLMLNCDEFIAH00646753";1;1;2019;4;2;598;1;1
"TQRMNOQWRHMMLPCDEFIAH00640438";1;1;2019;4;2;563;1;1
"TQRMNOQWSHMMLPCDEFIAH00640439";1;1;2019;4;2;563;1;1
"TQRMNOQWTHJKLMCDEFIAH00628487";1;1;2019;4;2;1424;1;1
"TQRMNOQWTHLMLNCDEFIAH00646737";1;1;2019;4;2;598;1;1
"TQRMNOQWVHMMLUCDEFIAH00640517";1;1;2019;4;2;639;1;1
"TQRMNOQWWHLMLOCDEFIAH00646739";1;1;2019;4;2;548;1;1
"TQRMNOQWXHJMMLCDEFIAH00622935";1;1;2019;4;2;542;1;1
"TQRMNOQWXHMMKOCDEFIAH00640459";1;1;2019;4;2;511;1;1
"TQRMNOQWYHJMMLCDEFIAH00646656";1;1;2019;4;2;542;1;1
"TQRMNOQWYHLMLOCDEFIAH00646627";1;1;2019;4;2;548;2;1
"TQRMNOQWYHMOMMCDEFIAH00640469";1;1;2019;4;2;668;1;1
"TQRMNOQXPHJMMLCDEFIAH00646689";1;1;2019;4;2;542;1;1
"TQRMNOQXQHJKKSCDEFIAH00646684";1;1;2019;4;2;1487;1;1
"TQRMNOQXQHJMMLCDEFIAH00622871";1;1;2019;4;2;542;1;1
"TQRMNOQXQHLMLOCDEFIAH00646765";1;1;2019;4;2;548;2;2
"TQRMNOQXQHMLKPCDEFIAH00640520";1;1;2019;4;2;747;1;1
"TQRMNOQXQHMOKNCDEFIAH00640416";1;1;2019;4;2;651;2;2
"TQRMNOQXRHJMMLCDEFIAH00623029";1;1;2019;4;2;542;2;1
"TQRMNOQXRHMLKPCDEFIAH00640531";1;1;2019;4;2;747;1;1
"TQRMNOQXRHMOKNCDEFIAH00646623";1;1;2019;4;2;651;1;1
"TQRMNOQXSHMOKNCDEFIAH00640467";1;1;2019;4;2;651;1;1
"TQRMNOQXTHMMLUCDEFIAH00646654";1;1;2019;4;2;639;1;1
"TQRMNOQXTHMOMMCDEFIAH00640410";1;1;2019;4;2;668;1;1
"TQRMNOQXUHMMLUCDEFIAH00640479";1;1;2019;4;2;639;1;1
"TQRMNOQXWHKOLTCDEFIAH00617472";1;1;2019;4;2;401;2;2
"TQRMNOQXYHJMLSCDEFIAH00622989";2;1;2019;4;2;506;1;1
"TQRMNOQXYHKOLTCDEFIAH00617459";1;1;2019;4;2;401;2;1
"TQRMNOQYQHJMLSCDEFIAH00622926";1;1;2019;4;2;506;2;2
"TQRMNOQYRHJMLSCDEFIAH00622936";1;1;2019;4;2;506;1;1
"TQRMNOQYSHJLLLCDEFIAH00628543";1;1;2019;4;2;744;1;1
"TQRMNOQYSHKMKUCDEFIAH00622987";1;1;2019;4;2;616;2;1
"TQRMNOQYTHKNKMCDEFIAH00640445";1;1;2019;4;2;561;2;1
"TQRMNOQYUHJLLLCDEFIAH00622937";1;1;2019;4;2;744;1;1
