CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPSUHKMLLCDEFIAH00640522";1;1;2019;4;2;551;1;1;2;1
"TQRMNOPSUHKMLLCDEFIAH00640522";1;2;2019;4;2;551;1;1;2;1
"TQRMNOPSUHKMLLCDEFIAH00640522";1;3;2019;4;2;551;1;1;2;1
"TQRMNOPSUHKOLUCDEFIAH00617379";1;1;2019;4;2;633;1;2;2;1
"TQRMNOPSUHLMLUCDEFIAH00646748";1;1;2019;4;2;537;1;2;2;2
"TQRMNOPSUHLMLUCDEFIAH00646748";1;2;2019;4;2;537;1;2;2;2
"TQRMNOPSUHLMLUCDEFIAH00646748";1;3;2019;4;2;537;1;1;1;1
"TQRMNOPSVHJLKUCDEFIAH00622914";1;1;2019;4;2;756;1;1;1;1
"TQRMNOPSVHKMLLCDEFIAH00617420";2;1;2019;4;2;551;1;1;1;1
"TQRMNOPSVHKMLLCDEFIAH00617420";2;2;2019;4;2;551;1;1;1;1
"TQRMNOPSVHMOLRCDEFIAH00640510";1;1;2019;4;2;1008;1;1;2;1
"TQRMNOPSVHMOLRCDEFIAH00640510";1;2;2019;4;2;1008;1;2;2;2
"TQRMNOPSVHMOLRCDEFIAH00640510";1;3;2019;4;2;1008;1;2;2;2
"TQRMNOPSVHMOLRCDEFIAH00640510";1;4;2019;4;2;1008;1;2;2;2
"TQRMNOPSWHJLKUCDEFIAH00622906";1;1;2019;4;2;756;1;1;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;1;2019;4;2;1045;1;1;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;2;2019;4;2;1045;1;1;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;3;2019;4;2;1045;1;1;1;1
"TQRMNOPSWHKMLLCDEFIAH00617399";1;1;2019;4;2;551;1;1;2;1
"TQRMNOPSWHKMLLCDEFIAH00617399";1;2;2019;4;2;551;1;1;1;1
"TQRMNOPSWHMOLRCDEFIAH00640489";1;1;2019;4;2;1008;2;2;2;2
"TQRMNOPSWHMOLRCDEFIAH00640489";1;2;2019;4;2;1008;2;2;2;2
"TQRMNOPSWHMOLRCDEFIAH00640489";1;3;2019;4;2;1008;2;1;2;1
"TQRMNOPSWHMOLRCDEFIAH00640489";1;4;2019;4;2;1008;2;1;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;1;2019;4;2;627;1;1;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;5;2019;4;2;627;1;1;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;6;2019;4;2;627;1;1;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;7;2019;4;2;627;1;1;2;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;8;2019;4;2;627;1;1;2;1
"TQRMNOPSXHKKKPCDEFIAH00622886";1;1;2019;4;2;1045;1;1;1;1
"TQRMNOPSXHKMLLCDEFIAH00617376";1;1;2019;4;2;551;1;1;1;1
"TQRMNOPSXHMOLRCDEFIAH00640457";1;1;2019;4;2;1008;1;2;2;1
"TQRMNOPSXHMOLRCDEFIAH00640457";1;2;2019;4;2;1008;1;2;2;2
"TQRMNOPSYHJLKUCDEFIAH00622915";1;1;2019;4;2;756;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;2;2019;4;2;756;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;3;2019;4;2;756;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;4;2019;4;2;756;1;1;1;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;1;2019;4;2;627;2;1;2;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;2;2019;4;2;627;2;1;2;1
"TQRMNOPSYHMOLRCDEFIAH00640506";1;1;2019;4;2;1008;2;2;1;2
"TQRMNOPSYHMOLRCDEFIAH00640506";1;2;2019;4;2;1008;1;1;1;2
"TQRMNOPSYHMOLRCDEFIAH00640506";1;3;2019;4;2;1008;1;2;1;2
"TQRMNOPSYHMOLRCDEFIAH00640506";1;4;2019;4;2;1008;1;2;1;1
"TQRMNOPTQHJOKNCDEFIAH00622879";1;1;2019;4;2;627;1;2;2;2
"TQRMNOPTRHJMLSCDEFIAH00622896";1;1;2019;4;2;506;1;2;2;2
"TQRMNOPTRHJMLSCDEFIAH00622896";1;2;2019;4;2;506;1;2;2;2
"TQRMNOPTRHJMMLCDEFIAH00622997";1;1;2019;4;2;542;2;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;2;2019;4;2;542;2;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;3;2019;4;2;542;2;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;4;2019;4;2;542;2;1;1;1
"TQRMNOPTSHJMLSCDEFIAH00622929";1;1;2019;4;2;506;1;1;1;1
"TQRMNOPTSHJMLSCDEFIAH00622929";1;2;2019;4;2;506;1;1;1;1
"TQRMNOPTSHMOLRCDEFIAH00640450";1;1;2019;4;2;1008;2;2;2;1
"TQRMNOPTSHMOLRCDEFIAH00640450";1;2;2019;4;2;1008;1;2;2;2
"TQRMNOPTUHJMLSCDEFIAH00622894";1;1;2019;4;2;506;1;1;2;1
"TQRMNOPTUHJMLSCDEFIAH00622894";1;2;2019;4;2;506;1;1;2;1
"TQRMNOPTUHMMKOCDEFIAH00640494";1;1;2019;4;2;511;1;1;1;1
"TQRMNOPTUHMMKOCDEFIAH00640494";1;2;2019;4;2;511;1;1;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;1;2019;4;2;542;2;1;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;2;2019;4;2;542;2;1;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;3;2019;4;2;542;2;1;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;4;2019;4;2;542;2;1;1;1
"TQRMNOPTVHJMMLCDEFIAH00628387";1;5;2019;4;2;542;2;1;1;1
"TQRMNOPTWHMOMMCDEFIAH00640553";1;1;2019;4;2;668;2;1;2;1
"TQRMNOPTWHMOMMCDEFIAH00640553";1;2;2019;4;2;668;2;1;2;1
"TQRMNOPTWHMOMMCDEFIAH00640553";1;3;2019;4;2;668;2;1;2;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;1;2019;4;2;542;3;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;2;2019;4;2;542;3;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;3;2019;4;2;542;3;1;2;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;4;2019;4;2;542;3;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;5;2019;4;2;542;3;1;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;1;2019;4;2;511;1;1;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;2;2019;4;2;511;1;1;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;3;2019;4;2;511;1;1;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;4;2019;4;2;511;1;1;1;1
"TQRMNOPTXHJOMMCDEFIAH00622983";1;1;2019;4;2;655;2;2;2;1
"TQRMNOPTXHJOMMCDEFIAH00622983";1;2;2019;4;2;655;2;2;2;1
"TQRMNOPTXHMMKOCDEFIAH00640550";1;1;2019;4;2;511;1;1;1;1
"TQRMNOPTXHMMKOCDEFIAH00640550";1;2;2019;4;2;511;1;1;1;1
"TQRMNOPTXHMMKOCDEFIAH00640550";1;3;2019;4;2;511;1;1;1;1
"TQRMNOPTXHMOMMCDEFIAH00646736";1;1;2019;4;2;668;2;1;1;1
"TQRMNOPTXHMOMMCDEFIAH00646736";1;2;2019;4;2;668;2;1;1;1
"TQRMNOPTXHMOMMCDEFIAH00646736";1;3;2019;4;2;668;2;1;1;1
"TQRMNOPTXHMOMMCDEFIAH00646736";1;4;2019;4;2;668;2;1;1;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;1;2019;4;2;511;1;2;2;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;3;2019;4;2;511;1;2;2;2
"TQRMNOPTYHMMKOCDEFIAH00640417";1;1;2019;4;2;511;1;1;1;1
"TQRMNOPTYHMMKOCDEFIAH00640417";1;2;2019;4;2;511;1;1;2;1
"TQRMNOPTYHMOMMCDEFIAH00640484";1;1;2019;4;2;668;1;1;2;1
"TQRMNOPTYHMOMMCDEFIAH00640484";1;2;2019;4;2;668;1;1;2;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;1;2019;4;2;511;1;1;2;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;2;2019;4;2;511;1;1;1;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;3;2019;4;2;511;1;1;1;1
"TQRMNOPUPHJOMMCDEFIAH00622984";1;1;2019;4;2;655;1;2;2;2
"TQRMNOPUPHJOMMCDEFIAH00622984";1;2;2019;4;2;655;1;2;2;2
"TQRMNOPUPHJOMMCDEFIAH00622984";1;3;2019;4;2;655;1;1;2;1
"TQRMNOPUPHJOMMCDEFIAH00622984";1;4;2019;4;2;655;1;1;2;1
"TQRMNOPUQHJOMMCDEFIAH00623030";1;1;2019;4;2;655;3;2;2;2
"TQRMNOPUQHJOMMCDEFIAH00623030";1;2;2019;4;2;655;3;2;2;2
"TQRMNOPUQHJOMMCDEFIAH00623030";1;3;2019;4;2;655;3;2;2;1
"TQRMNOPUQHJOMMCDEFIAH00623030";1;4;2019;4;2;655;3;2;2;1
"TQRMNOPUQHLMKOCDEFIAH00646774";1;1;2019;4;2;529;1;1;2;1
"TQRMNOPUQHLMKOCDEFIAH00646774";1;2;2019;4;2;529;1;1;2;1
"TQRMNOPUQHLMKOCDEFIAH00646774";1;3;2019;4;2;529;1;1;2;1
"TQRMNOPUQHLMKOCDEFIAH00646774";1;4;2019;4;2;529;1;1;2;1
"TQRMNOPUQHLMKOCDEFIAH00646774";1;5;2019;4;2;529;1;2;2;2
